[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /block/transaction        --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/account            --> server/controller.PackAccount (3 handlers)
[GIN-debug] POST   /block/upload             --> server/controller.AppendBlock (3 handlers)
[GIN-debug] POST   /block/uploadproposal     --> server/controller.MultiCastProposal (3 handlers)
[GIN-debug] POST   /block/witness            --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/uploadleader       --> server/controller.AppendBlock (3 handlers)
[GIN-debug] GET    /shard/shardNum           --> server/controller.PreRegister (3 handlers)
[GIN-debug] GET    /shard/height             --> server/controller.GetHeight (3 handlers)
[GIN-debug] GET    /shard/register           --> server/controller.RegisterCommunication (3 handlers)
[GIN-debug] POST   /shard/vote               --> server/controller.SendVote (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8088
[GIN] 2023/09/01 - 18:02:12 | 200 |    6.203087ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:12 | 200 |    6.861219ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:12 | 200 |    6.951168ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:12 | 200 |    5.836014ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:12 | 200 |    8.718967ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:12 | 200 |    9.061053ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:12 | 200 |    6.196954ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:12 | 200 |    2.294474ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:12 | 200 |     666.753µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:12 | 200 |     654.913µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:12 | 200 |    2.317307ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:13 | 200 |    3.274899ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:13 | 200 |    2.518882ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:13 | 200 |    3.181745ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:13 | 200 |    2.657587ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:13 | 200 |    2.019658ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:13 | 200 |    2.575482ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:13 | 200 |    7.863681ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:13 | 200 |    4.467867ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:13 | 200 |    2.898538ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:13 | 200 |     3.66308ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:13 | 200 |    2.046393ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:13 | 200 |    4.982447ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:13 | 200 |    6.990772ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:14 | 200 |    6.214453ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:14 | 200 |    5.754424ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:14 | 200 |     6.96415ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:14 | 200 |    8.715571ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:14 | 200 |    8.053055ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:14 | 200 |    7.168081ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:14 | 200 |     8.39421ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:14 | 200 |    9.813571ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.443514ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:14 | 200 |    9.710295ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:14 | 200 |   11.772191ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:14 | 200 |   10.400542ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.309659ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:14 | 200 |    9.666661ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.639226ms |       127.0.0.1 | POST     "/block/uploadproposal"
